quality_set,trait,method,estimate,statistic,p_value,fdr_p_value
main_dataset,PC1,Blomberg_K,1.56880542094668e+00,NA,0.002000000000000000,0.00960000000000000
main_dataset,PC1,Pagel_lambda,1.03682927727923e+00,17.080128319590301,0.000168901483771774,0.00184255484603259
main_dataset,PC2,Blomberg_K,2.03003555273603e+00,NA,0.001000000000000000,0.00600000000000000
main_dataset,PC2,Pagel_lambda,1.05870404131069e+00,19.957119317858073,0.000083684124318333,0.00184255484603259
main_dataset,PC3,Blomberg_K,2.35047529811861e-01,NA,0.542000000000000370,0.72266666666666712
main_dataset,PC3,Pagel_lambda,7.89532623255345e-05,17.378136901023762,1.000000000000000000,1.00000000000000000
main_dataset,PC4,Blomberg_K,5.11441297812224e-01,NA,0.065000000000000044,0.12000000000000009
main_dataset,PC4,Pagel_lambda,7.89532623255345e-05,20.562574447950979,1.000000000000000000,1.00000000000000000
main_dataset,PC5,Blomberg_K,3.37344764882411e-01,NA,0.307000000000000217,0.46050000000000035
main_dataset,PC5,Pagel_lambda,7.89532623255345e-05,26.793147922282071,1.000000000000000000,1.00000000000000000
main_dataset,abs_winding_angle_deg,Blomberg_K,8.97961215445744e-01,NA,0.008000000000000000,0.02400000000000000
main_dataset,abs_winding_angle_deg,Pagel_lambda,7.72964202735995e-01,-81.881189683150723,0.016388790905617304,0.03575736197589278
main_dataset,n_turns_abs,Blomberg_K,8.97961215445744e-01,NA,0.008000000000000000,0.02400000000000000
main_dataset,n_turns_abs,Pagel_lambda,7.72964202736459e-01,0.524266757151441,0.016388790905617526,0.03575736197589278
main_dataset,start_end_dist,Blomberg_K,1.38707600721761e-01,NA,0.940000000000000724,1.00000000000000000
main_dataset,start_end_dist,Pagel_lambda,7.94232222204516e-05,18.697862005220980,1.000000000000000000,1.00000000000000000
main_dataset,axial_span,Blomberg_K,3.66959974496020e-01,NA,0.223000000000000170,0.35680000000000028
main_dataset,axial_span,Pagel_lambda,4.40575627341465e-01,17.694523917480307,0.413108275879159881,0.58321168359410813
main_dataset,axial_pitch_360,Blomberg_K,4.28183316199580e-01,NA,0.174000000000000127,0.29828571428571449
main_dataset,axial_pitch_360,Pagel_lambda,6.66208070607669e-01,19.102698954438033,0.671959405134469390,0.84879082753827706
main_dataset,fit_radius,Blomberg_K,1.23136252267023e+00,NA,0.005000000000000000,0.02000000000000000
main_dataset,fit_radius,Pagel_lambda,1.06103287704981e+00,34.217198355523045,0.000230319355754073,0.00184255484603259
main_dataset,centroid_size,Blomberg_K,8.31667225251880e-01,NA,0.016000000000000007,0.03575736197589278
main_dataset,centroid_size,Pagel_lambda,6.95490267442632e-01,-80.123281128189475,0.051473756223377250,0.10294751244675450
high_confidence,PC1,Blomberg_K,1.56880542094668e+00,NA,0.002000000000000000,0.01200000000000000
high_confidence,PC1,Pagel_lambda,1.03682927727923e+00,17.08012831959030,0.000168901483771774,0.00202681780526129
high_confidence,PC2,Blomberg_K,2.03003555273603e+00,NA,0.001000000000000000,0.00800000000000000
high_confidence,PC2,Pagel_lambda,1.05870404131069e+00,19.95711931785807,0.000083684124318333,0.00200841898363999
high_confidence,PC3,Blomberg_K,2.35047529811861e-01,NA,0.542000000000000370,1.00000000000000000
high_confidence,PC3,Pagel_lambda,7.89532623255345e-05,17.37813690102376,1.000000000000000000,1.00000000000000000
high_confidence,PC4,Blomberg_K,5.11441297812224e-01,NA,0.065000000000000044,0.17333333333333345
high_confidence,PC4,Pagel_lambda,7.89532623255345e-05,20.56257444795098,1.000000000000000000,1.00000000000000000
high_confidence,PC5,Blomberg_K,3.37344764882411e-01,NA,0.307000000000000217,0.73680000000000045
high_confidence,PC5,Pagel_lambda,7.89532623255345e-05,26.79314792228207,1.000000000000000000,1.00000000000000000
high_confidence,abs_winding_angle_deg,Blomberg_K,2.35520128972074e-01,NA,0.680000000000000493,1.00000000000000000
high_confidence,abs_winding_angle_deg,Pagel_lambda,7.94232222204516e-05,-65.97119636373519,1.000000000000000000,1.00000000000000000
high_confidence,n_turns_abs,Blomberg_K,2.35520128972074e-01,NA,0.696000000000000507,1.00000000000000000
high_confidence,n_turns_abs,Pagel_lambda,7.94232222204516e-05,4.66205201366668,1.000000000000000000,1.00000000000000000
high_confidence,start_end_dist,Blomberg_K,1.51825611646431e-01,NA,0.930000000000000715,1.00000000000000000
high_confidence,start_end_dist,Pagel_lambda,7.94232222204516e-05,15.13971517418504,1.000000000000000000,1.00000000000000000
high_confidence,axial_span,Blomberg_K,1.30223708868222e-01,NA,0.969000000000000750,1.00000000000000000
high_confidence,axial_span,Pagel_lambda,7.94232222204516e-05,20.86304813487412,1.000000000000000000,1.00000000000000000
high_confidence,axial_pitch_360,Blomberg_K,3.84171601745787e-01,NA,0.387000000000000288,0.84436363636363698
high_confidence,axial_pitch_360,Pagel_lambda,7.94232222204516e-05,18.94798737356383,1.000000000000000000,1.00000000000000000
high_confidence,fit_radius,Blomberg_K,9.53968743592375e-01,NA,0.025000000000000015,0.10000000000000006
high_confidence,fit_radius,Pagel_lambda,1.00694741380885e+00,34.30987993650316,0.039552527262548716,0.13560866490016701
high_confidence,centroid_size,Blomberg_K,8.31667225251880e-01,NA,0.012000000000000004,0.05760000000000001
high_confidence,centroid_size,Pagel_lambda,6.95490267442632e-01,-80.12328112818948,0.051473756223377250,0.15442126867013176
