tree_label,PC1,PC2,PC3,PC4,PC5,abs_winding_angle_deg,n_turns_abs,start_end_dist,axial_span,axial_pitch_360,fit_radius,centroid_size,tree_tip,Family,Coxal wall hole,Coxal Socket,n_specimens
Curculionidae___Dendroctonus,-0.0445675533991518,0.008699591952416130,-0.03232795620805472,0.11758363271639893,-0.05184179304018587,419.701757276714,1.165838214657539,0.278798089690688,0.1701062783099845,0.1431927406628131,0.236551550721944,222.0123777662697,Dendroctonus,Curculionidae,FALSE,TRUE,3
Curculionidae___Ips,-0.0185701756517761,-0.019808285115185571,-0.03602451597250080,0.09088545773857103,-0.00579403101835557,411.688384407223,1.143578845575620,0.301842536221127,0.1991359306584285,0.1562361618913985,0.226149079261749,188.2590905499000,Ips,Curculionidae,NA,TRUE,3
Curculionidae___Nedyus,-0.0567168164023641,0.023456447120256029,-0.04777996140351393,0.04564572763375951,-0.00653226911756990,461.613105989648,1.282258627749024,0.397957824099758,0.1693973999852094,0.1296465419959808,0.242049988146548,208.5597347533870,Nedyus,Curculionidae,NA,TRUE,6
Curculionidae___Curculio,-0.0626916851644466,0.000247581829502192,0.00262321307518348,-0.00542832123092075,-0.03336551113513279,435.715393541582,1.210320537615507,0.347640937495450,0.1943756537909629,0.1614086265418756,0.250396494699439,217.9286838687889,Curculio,Curculionidae,NA,TRUE,13
Curculionidae___Larinus,-0.1214109706161355,-0.040882102395198898,0.05505790573212985,0.01897311542470187,0.01341716300061718,422.680938889806,1.174113719138351,0.350619185446211,0.2327019499917450,0.2013720859353031,0.251276376853153,278.8380510015760,Larinus,Curculionidae,NA,TRUE,7
Curculionidae___Diaprepes,-0.0616967034656656,-0.059566650592347822,-0.00429601783661478,-0.05882917931817557,0.02403572562769530,426.945901415434,1.185960837265094,0.340723718961349,0.1960606750965946,0.1703853182330564,0.247779530794857,233.8037065835583,Diaprepes,Curculionidae,NA,TRUE,12
Curculionidae___Oxoplatypus,-0.0393689934749423,-0.026289041828597599,-0.17164867469333800,0.05813662515706290,0.08203451259909871,306.768816519182,0.852135601442171,0.226095041558209,0.0610305637215155,0.0731148649014946,0.246622831286960,189.2657323708540,Oxoplatypus,Curculionidae,TRUE,TRUE,1
Curculionidae___Sitophilus,-0.0975800611468749,-0.007195631368499805,0.04956058954406207,-0.02402553368007173,0.01636403951523185,486.065230026285,1.350181194517458,0.485428140791568,0.2299091495796669,0.1719747474133405,0.250144644770238,213.6612565591797,Sitophilus,Curculionidae,FALSE,TRUE,3
Brentidae___Nanophyes,0.2949113454048700,-0.122287184474699495,-0.00266460097802215,0.02072506323145196,0.03203321322271265,251.745717722993,0.699293660341648,0.269828508922186,0.0475721576143354,0.0630966517524311,0.167076083390777,159.2707380079470,Nanophyes,Brentidae,FALSE,TRUE,2
Brentidae___Arrhenodes,0.2679045447058435,-0.110473779862831953,0.05198942929118717,0.02918236790649988,-0.04020923616345044,244.774796572717,0.679929990479769,0.308755776023754,0.0896857316069159,0.1226393537312817,0.159343024520644,248.9734522335830,Arrhenodes,Brentidae,FALSE,TRUE,6
Caridae___Car,-0.0163459772431715,0.205849960175506996,0.07354887185846699,0.02293418082861730,-0.02673865835724090,329.981362797913,0.916614896660869,0.250790641592315,0.2042280891691801,0.2008739243704630,0.286666749572937,111.7574098721420,Car,Caridae,FALSE,TRUE,1
Attelabidae___Synolabus,0.0590264612445578,0.041185587020083389,-0.16880619999652000,-0.09141402900093178,0.01872561580036997,286.840344313676,0.796778734204656,0.377248657071900,0.2048441865751987,0.3018664122039791,0.271867034031642,206.3882568083905,Synolabus,Attelabidae,TRUE,TRUE,4
Belidae___Agnesiotis,0.0148801772582650,0.071533496744872305,-0.01136256482063830,0.12777561573395399,0.03761950486085190,112.623523038490,0.312843119551360,0.346934149869005,0.0194679345069739,0.0623732084013792,0.207414221710275,94.8177567098510,Agnesiotis,Belidae,TRUE,TRUE,1
Anthribidae___Euparius,0.1342886326431190,0.266478906098966239,0.08011595296540727,-0.04283157501650160,0.00675544655221748,264.385286666035,0.734403574072320,0.329221311344848,0.0941722315147676,0.0987255322241619,0.234587955927487,98.2238361438367,Euparius,Anthribidae,FALSE,NA,4
Nemonychidae___Rhynchitomacerinus,0.1490039354553370,0.168797455760859000,0.06635825112826405,-0.03595342791594710,0.09838057328881436,NA,NA,NA,NA,NA,NA,95.3340964190101,Rhynchitomacerinus,Nemonychidae,FALSE,TRUE,2
