quality_set,trait,method,n_trees,estimate_min,estimate_max,estimate_median,p_min,p_max,n_nominal_sig
main_dataset,PC1,Blomberg_K,15,4.68490812386634e-01,1.73936861004007e+00,1.60882803298720e+00,1.00000000000000e-03,0.01300000000000000,15
main_dataset,PC1,Pagel_lambda,15,9.74127908444222e-01,1.30743494206518e+00,1.03682927727923e+00,1.58846514788472e-05,0.00959287988152429,15
main_dataset,PC2,Blomberg_K,15,9.80435440706464e-01,2.34935119508569e+00,1.79751050242620e+00,1.00000000000000e-03,0.00200000000000000,15
main_dataset,PC2,Pagel_lambda,15,9.89748786363052e-01,1.33970388077782e+00,1.05870404131069e+00,9.22388954820027e-07,0.00295505285379363,15
main_dataset,PC3,Blomberg_K,15,2.22600841665059e-02,9.92067393783601e-01,6.64895532448441e-01,7.10000000000000e-02,0.56400000000000039,0
main_dataset,PC3,Pagel_lambda,15,4.19561645018208e-05,9.99926686256414e-01,7.36897115015649e-05,2.87315688388640e-02,1.00000000000000000,1
main_dataset,PC4,Blomberg_K,15,7.25411737857657e-02,8.83948771213517e-01,7.92774904256758e-01,5.10000000000000e-02,0.31500000000000022,0
main_dataset,PC4,Pagel_lambda,15,4.19561645018208e-05,9.99926686256414e-01,9.39633584847138e-01,6.70195740014857e-03,1.00000000000000000,1
main_dataset,PC5,Blomberg_K,15,3.47466201902829e-02,1.12896721123737e+00,8.32697306463859e-01,4.20000000000000e-02,0.32000000000000023,3
main_dataset,PC5,Pagel_lambda,15,7.36897115015649e-05,9.99926686256414e-01,5.21974243882702e-01,9.66470281501628e-03,1.00000000000000000,1
main_dataset,abs_winding_angle_deg,Blomberg_K,15,1.12179010469857e-01,2.17386155568514e+00,1.72977030974916e+00,1.00000000000000e-03,0.03100000000000002,15
main_dataset,abs_winding_angle_deg,Pagel_lambda,15,7.70657145870769e-01,1.14322391575369e+00,9.99926686256414e-01,7.79124562463727e-04,0.02527051929449267,15
main_dataset,axial_pitch_360,Blomberg_K,15,5.26267473974251e-02,8.71149111736651e-01,8.26775419268579e-01,8.60000000000001e-02,0.67400000000000049,0
main_dataset,axial_pitch_360,Pagel_lambda,15,6.66208070607669e-01,1.07424876379854e+00,9.99926686256414e-01,1.82613847659367e-02,0.83118868581666050,1
main_dataset,axial_span,Blomberg_K,15,3.92605534753154e-02,1.27361468350035e+00,9.55492191716104e-01,2.00000000000000e-02,0.26900000000000018,5
main_dataset,axial_span,Pagel_lambda,15,4.40575627341465e-01,1.10774636025598e+00,9.99926686256414e-01,4.03829677813616e-02,0.45234567197985015,4
main_dataset,centroid_size,Blomberg_K,15,1.09868059678626e-01,2.16266613259798e+00,1.40495419106723e+00,2.00000000000000e-03,0.03600000000000003,15
main_dataset,centroid_size,Pagel_lambda,15,6.73778579692825e-01,1.15823264906076e+00,9.99926686256414e-01,3.78756695186721e-04,0.07173309835308432,12
