quality_set,response,predictor,n_trees,estimate_min,estimate_max,estimate_median,sign_consistent_positive,sign_consistent_negative,p_min,p_max,n_nominal_sig,n_fdr_sig,lambda_min,lambda_max,lambda_median
main_dataset,PC1,abs_winding_angle_deg,15,-6.82653186698226e-04,-3.22462598024745e-04,-5.59993378735898e-04,FALSE,TRUE,3.46794357591672e-02,0.08513902599613524,1,0,0.992720683090542,1.000000000000000,1.000000000000000
main_dataset,PC1,axial_pitch_360,15,-6.11374954202874e-01,-5.44763720447070e-01,-5.63886564708325e-01,FALSE,TRUE,3.35310210795498e-03,0.25092808110037740,2,0,0.997282363577942,1.000000000000000,1.000000000000000
main_dataset,PC1,axial_span,15,-8.86416049065827e-01,-3.83802581503553e-01,-7.13785087805307e-01,FALSE,TRUE,7.48843400561375e-03,0.06141152112981672,4,0,0.994226687536743,1.000000000000000,1.000000000000000
main_dataset,PC1,centroid_size,15,-6.95219253799145e-04,-5.07909506128344e-04,-5.26342979467050e-04,FALSE,TRUE,3.16058219175081e-02,0.36760972568849126,1,0,0.990947756123290,1.000000000000000,1.000000000000000
main_dataset,PC1,fit_radius,15,-2.98243508641162e+00,-2.30633088193523e+00,-2.43404105552599e+00,FALSE,TRUE,8.74147013815267e-04,0.01079933280431320,15,15,0.927877189828310,1.000000000000000,1.000000000000000
main_dataset,PC1,n_turns_abs,15,-2.45755147211361e-01,-1.16086535288908e-01,-2.01597616344923e-01,FALSE,TRUE,3.46794357493528e-02,0.08513902599613521,1,0,0.992720683093985,1.000000000000000,1.000000000000000
main_dataset,PC1,start_end_dist,15,-5.56192533233591e-01,-2.12302586836364e-01,-2.99929878140385e-01,FALSE,TRUE,3.37859091258262e-02,0.37243099576911287,1,0,0.995700389146826,1.000000000000000,1.000000000000000
main_dataset,PC2,abs_winding_angle_deg,15,-6.64788573129328e-05,1.38821547958327e-04,2.03595541499830e-05,FALSE,FALSE,2.38625188250614e-01,0.98439437244837513,0,0,0.995296686831629,1.000000000000000,1.000000000000000
main_dataset,PC2,axial_pitch_360,15,-3.60155663672583e-02,7.21542529246244e-02,2.25028477775171e-02,FALSE,FALSE,8.51195176545761e-01,0.97445036154490849,0,0,0.990691078247571,1.000000000000000,1.000000000000000
main_dataset,PC2,axial_span,15,-1.57838299700675e-02,8.50893246824008e-02,4.74036749136215e-02,FALSE,FALSE,7.32122841202832e-01,0.96468556929637916,0,0,0.991364724909510,1.000000000000000,1.000000000000000
main_dataset,PC2,centroid_size,15,-1.07269137554526e-03,-2.51942234551080e-04,-9.12142222190867e-04,FALSE,TRUE,1.11651336567194e-02,0.34434620316265430,11,0,0.972841044232827,1.000000000000000,1.000000000000000
main_dataset,PC2,fit_radius,15,8.04654735582298e-01,1.54169564572164e+00,1.39535297927262e+00,TRUE,FALSE,6.57162862236699e-02,0.36917756338936103,0,0,0.974921085637630,1.000000000000000,1.000000000000000
main_dataset,PC2,n_turns_abs,15,-2.39323886326557e-02,4.99757572655007e-02,7.32943949399396e-03,FALSE,FALSE,2.38625188273761e-01,0.98439437244837513,0,0,0.995296686829526,1.000000000000000,1.000000000000000
main_dataset,PC2,start_end_dist,15,2.04636538153947e-02,2.44391143852502e-01,6.30801209888807e-02,TRUE,FALSE,3.15494861965708e-01,0.95050784186630266,0,0,0.995233883438844,1.000000000000000,1.000000000000000
main_dataset,PC3,abs_winding_angle_deg,15,5.12634446490029e-05,6.20413586252112e-05,5.12634446490029e-05,TRUE,FALSE,7.73947644698807e-01,0.81332772170350554,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC3,axial_pitch_360,15,-2.66625781500291e-01,-1.59966639497537e-01,-1.59966639497537e-01,FALSE,TRUE,4.64219358181761e-01,0.65543957856279711,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC3,axial_span,15,6.85177136859105e-02,1.23784661592967e+00,5.95763889305792e-01,TRUE,FALSE,5.02625208735958e-07,0.83314934688136177,4,4,0.000000000000000,1.000000000000000,1.000000000000000
main_dataset,PC3,centroid_size,15,-2.88692192196022e-04,-1.83520409916332e-04,-2.88692192196022e-04,FALSE,TRUE,4.35250983214173e-01,0.64340251546795513,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC3,fit_radius,15,-8.47861832582706e-01,-3.97244007393194e-01,-3.97244007393194e-01,FALSE,TRUE,2.24518057839087e-01,0.54219380530529693,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC3,n_turns_abs,15,1.84548400736411e-02,2.23348891050761e-02,1.84548400736411e-02,TRUE,FALSE,7.73947644698807e-01,0.81332772170350520,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC3,start_end_dist,15,1.94037704257456e-01,6.32740377900149e-01,1.94037704257456e-01,TRUE,FALSE,2.10613351969142e-02,0.57897581672057541,1,0,0.000000000000000,1.000000000000000,0.000000000000000
main_dataset,PC4,abs_winding_angle_deg,15,-4.06386121444839e-04,-1.08401991689824e-04,-2.80142659309842e-04,FALSE,TRUE,5.40188059701693e-02,0.55487360996431168,0,0,0.000000000000000,1.000000000000000,0.931745714384641
main_dataset,PC4,axial_pitch_360,15,-7.32133904389860e-01,-5.49955911441410e-01,-6.29966740079390e-01,FALSE,TRUE,4.88519287112437e-03,0.04134727663160456,15,15,0.000000000000000,1.000000000000000,1.000000000000000
main_dataset,PC4,axial_span,15,-5.36534260417632e-01,-4.76129170821356e-01,-5.23334399859961e-01,FALSE,TRUE,5.69885616980320e-03,0.07873268428339117,11,4,0.971435377004696,1.000000000000000,1.000000000000000
main_dataset,PC4,centroid_size,15,-3.48762813901271e-04,-5.40385567244957e-05,-2.61308646345246e-04,FALSE,TRUE,3.77447221516740e-01,0.87199449887368952,0,0,0.000000000000000,1.000000000000000,0.925444831167276
main_dataset,PC4,fit_radius,15,-1.34524892683512e+00,-5.87084128293556e-01,-8.34366106703691e-01,FALSE,TRUE,9.27478551914551e-02,0.25855390837581926,0,0,0.000000000000000,1.000000000000000,0.950444080278100
main_dataset,PC4,n_turns_abs,15,-1.46299003720144e-01,-3.90247170083366e-02,-1.00851357351854e-01,FALSE,TRUE,5.40188059701694e-02,0.55487360996431190,0,0,0.000000000000000,1.000000000000000,0.931745714428632
main_dataset,PC4,start_end_dist,15,-4.22515824942706e-01,-3.02489369610715e-01,-3.44465681668493e-01,FALSE,TRUE,5.35946949630984e-02,0.16551023026882850,0,0,0.000000000000000,1.000000000000000,0.831203276452352
main_dataset,PC5,abs_winding_angle_deg,15,-1.04636538383028e-04,-1.00473056765956e-04,-1.00473056765956e-04,FALSE,TRUE,2.79134572954019e-01,0.29434332263480462,0,0,0.000000000000000,0.000000000000000,0.000000000000000
main_dataset,PC5,axial_pitch_360,15,-1.53814492920692e-01,-1.27431453224293e-01,-1.53814492920692e-01,FALSE,TRUE,3.34223478261969e-01,0.44578898118329668,0,0,0.000000000000000,0.112742060132450,0.000000000000000
